nombre,institucion,cantidad,subvencion,municipio
FUNCIONAMIENTO DE GRUPO 2009,ADRI JILOCA - GALLOCANTA,"222.131,24€","127.617,97€",""
CURSO SOBRE GESTION Y POSICIONAMIENTO INICIAL,ADRI JILOCA - GALLOCANTA,"2.553,46€","2.373,46€",""
CURSO DE GESTION Y POSICIONAMIENTO WEB AVANZADO,ADRI JILOCA - GALLOCANTA,"2.624,43€","2.444,43€",""
CURSO DE PROTECCION DEL PATRIMONIO RURAL,ADRI JILOCA - GALLOCANTA,"5.557,56€","3.607,56€",""
1ª FASE DEL AULA MÓVIL DE INFORMATICA,ADRI JILOCA - GALLOCANTA,"15.598,27€","13.938,28€",""
CURSO DE ORNITOLOGIA PRACTICA DE LAS TIERRAS DEL JILOCA Y GALLOCANTA,ADRI JILOCA - GALLOCANTA,"9.684,90€","6.214,90€",""
I CONCURSO DE DIBUJO Y FOTAGRAFIA ME GUSTA MI PUEBLO,ADRI JILOCA - GALLOCANTA,"2.010,00€","1.997,39€",""
CURSO DE FICCION Y CINE,ADRI JILOCA - GALLOCANTA,"3.764,29€","3.624,29€",""
TALLER DE WEB AUTOGESTIONABLES CALAMOCHA,ADRI JILOCA - GALLOCANTA,"2.736,98€","2.566,98€",""
TALLER E CREACION Y MANTENIMIENTO DE SITIOS WEB ADMINISTRABLES EN MONREAL,ADRI JILOCA - GALLOCANTA,"3.275,37€","3.095,37€",""
TALLER DE CREACION Y MANTENIMIENTO DE SITIOS WEB ADMINISTABLES PARA TURISTICOS Y AGROAL. DAROCA,ADRI JILOCA - GALLOCANTA,"2.633,28€","2.213,28€",""
CAMPAÑA DE DIFUSION DE LAS TIERRAS DEL JILOCA Y GALLOCANTA,ADRI JILOCA - GALLOCANTA,"23.000,00€","22.205,62€",""
FUNCIONAMIENTO DE GRUPO AÑO 2010,ADRI JILOCA - GALLOCANTA,"155.729,69€","107.444,49€",""
INFORMATIZACION DE ARCHIVO MUSICAL TIERRAS DEL JILOCA GALLOCANTA,ADRI JILOCA - GALLOCANTA,"13.500,00€","11.065,29€",""
JORNADAS SOBRE EL CHOPO CABECERO,ADRI JILOCA - GALLOCANTA,"10.650,00€","7.126,76€",""
PON ARAGON EN TU MESA,ADRI JILOCA - GALLOCANTA,"202.708,00€","21.790,25€",""
"CURSO DE SISTEMA OPERATIVO WINDOWS, UTILIDADES E INTERNET",ASOC. AMAS DE CASA VIRGEN DE LOS NAVARROS,"875,00€","621,90€",Fuentes Claras
CURSO Y EXPOSICION DE TRAJES REGIONALES,ASOC. AMAS DE CASA VIRGEN DE LOS NAVARROS,"1.432,00€","403,73€",Fuentes Claras
curso de infromatica en odon,ASOC. DE MUJERES VIRGEN DE LAS MERCEDES,"1.278,00€","958,50€",Odón
CURSO DE TAPICES MEDIEVALES,ASOCIACION AMAS DE CASA VIRGEN DEL MORAL,"1.787,00€","1.340,25€",El Poyo del Cid
ACTIVIDADES PROMOCION ACTIVIDADES CULTURALES,CENTRO DE ESTUDIOS DEL JILOCA,"92.278,64€","17.877,49€",Calamocha
INNOVACION Y DIFUSION DE PROYECTOS CULTURALES,CENTRO DE ESTUDIOS DEL JILOCA,"114.460,00€","40.061,00€",Calamocha
ACCIONES FORMATIVAS DE ASOCIACION DE MUJERES DE CALAMOCHA,ASOC. AMAS DE CASA SANTA MARIA LA MAYOR,"1.545,00€","1.158,75€",Calamocha
CURSO DE COCINA ARAGONESA,ASOC. AMAS DE CASA SANTA MARIA LA MAYOR,"2.300,00€","937,98€",Calamocha
ADQUISICIÓN DE BÁSCULA DE COOPERATIVA AGRARIA EN GALLOCANTA,SOCIEDAD COOPERATIVA VIRGEN DEL BUEN ACUERDO,"57.716,22€","9.811,76€",Gallocanta
CREACIÓN DE CAFETERIA -RESTAURANTE,MUDEJAR HOSTELERIA S.L.,"224.420,02€","44.161,21€",Romanos
AMPLIACIÓN DE RESIDENCIA GERIÁTRICA,GERIATENCIÓN S.L.,"185.022,63€","37.004,54€",Calamocha
ADQUISICIÓN DE MAQUINARIA PARA Eª DE FONTANERÍA,HNOS. TAJADA RAMOS S.L.,"30.960,01€","5.263,20€",Daroca
MEJORAS INVERNADEROS DE PLANTA ORNAMENTAL EN LUCO DE JILOCA,"LA ESTACION SERVICIOS MEDIOAMBIENTALES, S.L.","28.500,00€","4.845,00€",Luco de Jiloca
Ampliación de empresa de materiales de construcción,SEMAR RENTING S.L.,"26.154,12€","4.446,20€",Daroca
CREACION EMPRESA COMIDAS PREPARADAS Y CATERING EN CALAMOCHA,"SELECCION CALAMOCHA, S.L.U.","181.674,43€","45.418,62€",Calamocha
AMPLIACIÓN DE ACTIVIDAD DE Eª (REFORMAS INTEGRALES),SANCHEZ ANDRÉS FERRETERIA Y SUMINISTROS S.L.,"96.543,41€","9.159,34€",Calamocha
ADQUSICION DE MAQUINARIA EN EMPRESA DE CONSTRUCCION DE CALAMOCHA,"CONSTRUCCIONES SAN ROQUE LAYUNTA, S.L.","55.200,00€","8.013,37€",Calamocha
CREACIÓN DE OPTICA EN DAROCA,AJC ÓPTICOS S.L.,"46.736,22€","7.835,08€",Daroca
CREACIÓN DE WEB PARA TELETIENDA,ALIMENTACIÓN ARAGONIA 2002 S.L.,"8.500,00€","1.689,60€",Calamocha
TRASLADO Y AMPLIACION DE EMPRESA DE DISEÑO GRAFICO EN CALAMOCHA,"SISTEMAS DE IMPRESION Y DISEÑO, S.L.","303.042,00€","53.103,27€",Calamocha
MEJORAS EMPRESA DE FOTOGRAFIA,"ANGEL MARTIN FOTOGRAFOS, S.L.","27.106,84€","4.463,26€",Calamocha
MEJORA DE SECADERO DE JAMONES EN CAMINREAL,"JAMONES CARBÓ, S.L.","60.323,45€","12.064,70€",Caminreal
AMPLIACION RESTAURANTE HOTEL FIDALGO DE CALAMOCHA,"FIDALGO HERMANOS, S.L.","773.526,90€","125.912,13€",Calamocha
CREACION DE SUPERMERCADO EN MONREAL DEL CAMPO,"J.P.M. ALIMENTACION, S.L.","790.636,28€","133.526,15€",Monreal del Campo
MEJORA EN LOS MEDIOS DE ENSEÑANZA EN LA FORMACION DE NUEVOS CONDUCTORES,"AUTOESCUELA JILOCA, S.A.L.","24.477,61€","4.161,20€",Calamocha
